iso_639_1,iso_639_2,name,native_name
en,eng,"English","English"
es,spa,"Spanish","Español"
fr,fre,"French","Français"
de,ger,"German","Deutsch"
it,ita,"Italian","Italiano"
pt,por,"Portuguese","Português"
nl,dut,"Dutch","Nederlands"
ru,rus,"Russian","Русский"
zh,chi,"Chinese","中文"
ja,jpn,"Japanese","日本語"
ko,kor,"Korean","한국어"
ar,ara,"Arabic","العربية"
hi,hin,"Hindi","हिन्दी"
tr,tur,"Turkish","Türkçe"
pl,pol,"Polish","Polski"
sv,swe,"Swedish","Svenska"
da,dan,"Danish","Dansk"
fi,fin,"Finnish","Suomi"
no,nor,"Norwegian","Norsk"
cs,cze,"Czech","Čeština"
hu,hun,"Hungarian","Magyar"
ro,ron,"Romanian","Română"
el,gre,"Greek","Ελληνικά"
he,heb,"Hebrew","עברית"
th,tha,"Thai","ไทย"
id,ind,"Indonesian","Bahasa Indonesia"
vi,vie,"Vietnamese","Tiếng Việt"
uk,ukr,"Ukrainian","Українська"
fa,per,"Persian","فارسی"
ca,cat,"Catalan","Català"
gl,glg,"Galician","Galego"
eu,baq,"Basque","Euskara"
la,lat,"Latin","Latina"
ms,may,"Malay","Bahasa Melayu"
